epoch,loss,lr,p1_loss,p2_loss,p3_loss
0,6.24541969299,0.01,6.15503358841,6.19220266342,6.98455858231
0,1.07570738792,0.01,1.06351175308,1.50570476055,0.301081562042
0,-1.65872967243,0.01,-1.91922187805,-1.27461791039,-0.603507518768
1,0.972623705864,0.01,0.660047054291,1.67899656296,1.74791431427
2,-7.75676965714,0.01,-8.32022666931,-7.18069982529,-4.9647102356
0,1.62357277721,0.01,1.64683374763,1.58577442467,1.5363425985
1,0.944907680899,0.01,0.991189389676,0.898177069426,0.714397002012
2,0.546099880338,0.01,0.526885166019,0.569001611322,0.634799405187
0,2.72397518158,0.01,2.91428256035,2.38234972954,2.07507443428
1,4.52882814407,0.01,4.72314310074,4.22000932693,3.78626561165
2,1.99603629112,0.01,2.09574317932,1.80091130733,1.68833816051
3,3.69673418999,0.01,3.91264796257,3.30492091179,2.9689643383
4,1.56134033203,0.01,1.59070718288,1.49163806438,1.49517738819
5,2.50473117828,0.01,2.5456097126,2.41677165031,2.39449977875
6,1.31990909576,0.01,1.31437790394,1.33086264133,1.33672010899
7,1.91417312622,0.01,1.91613566875,1.92904961109,1.87068223953
8,1.51367354393,0.01,1.47501802444,1.57478034496,1.66204988956
9,1.351952672,0.01,1.3111025095,1.44591236115,1.44998395443
10,1.36441874504,0.001,1.254524827,1.66313326359,1.53624594212
11,1.4439893961,0.001,1.38732206821,1.61034500599,1.50794935226
12,1.25271356106,0.0001,1.19961345196,1.43021714687,1.2694067955
13,1.33278369904,0.0001,1.2927646637,1.47972309589,1.31903874874
14,0.822206556797,0.0001,0.801534712315,0.848803758621,0.913714647293
15,1.93782842159,0.0001,1.84428727627,2.19863677025,2.0710003376
16,1.54755330086,0.0001,1.49690949917,1.73056852818,1.53602921963
17,1.40246748924,0.0001,1.40822374821,1.39504873753,1.37701070309
18,1.44828569889,1e-05,1.39534568787,1.62441670895,1.46660411358
19,1.42949295044,1e-05,1.34198141098,1.65486097336,1.59133780003
